Bike Id,Duration,End Date,End Station Id,End Station Name,Id,Start Date,Start Station Id,Start Station Name,Subscription Type
359,591,1/13/2015 12:41,50,Harry Bridges Plaza (Ferry Building),602049,1/13/2015 12:31,76,Market at 4th,Subscriber
360,1017,1/13/2015 12:48,41,Clay at Battery,602048,1/13/2015 12:31,65,Townsend at 7th,Subscriber
528,455,1/13/2015 12:40,77,Market at Sansome,602050,1/13/2015 12:33,73,Grant Avenue at Columbus Avenue,Subscriber
361,268,1/13/2015 12:38,77,Market at Sansome,602054,1/13/2015 12:34,82,Broadway St at Battery St,Subscriber
546,356,1/13/2015 12:40,72,Civic Center BART (7th at Market),602053,1/13/2015 12:34,57,5th at Howard,Subscriber
424,1170,1/13/2015 12:53,56,Beale at Market,602052,1/13/2015 12:34,66,South Van Ness at Market,Customer
465,1181,1/13/2015 12:53,56,Beale at Market,602051,1/13/2015 12:34,66,South Van Ness at Market,Customer
586,370,1/13/2015 12:44,72,Civic Center BART (7th at Market),602056,1/13/2015 12:37,68,Yerba Buena Center of the Arts (3rd @ Howard),Subscriber
403,641,1/13/2015 12:47,71,Powell at Post (Union Square),602055,1/13/2015 12:37,61,2nd at Townsend,Subscriber
271,909,1/13/2015 12:53,56,Beale at Market,602057,1/13/2015 12:38,61,2nd at Townsend,Subscriber
635,536,1/13/2015 12:50,41,Clay at Battery,602059,1/13/2015 12:41,76,Market at 4th,Subscriber
568,324,1/13/2015 12:46,77,Market at Sansome,602058,1/13/2015 12:41,62,2nd at Folsom,Subscriber
554,246,1/13/2015 12:47,41,Clay at Battery,602061,1/13/2015 12:43,73,Grant Avenue at Columbus Avenue,Subscriber
692,530,1/13/2015 12:54,7,Paseo de San Antonio,602062,1/13/2015 12:45,5,Adobe on Almaden,Subscriber
471,1248,1/13/2015 13:07,60,Embarcadero at Sansome,602063,1/13/2015 12:46,72,Civic Center BART (7th at Market),Subscriber
506,271,1/13/2015 12:52,63,Howard at 2nd,602066,1/13/2015 12:48,64,2nd at South Park,Subscriber
631,376,1/13/2015 12:54,39,Powell Street BART,602065,1/13/2015 12:48,45,Commercial at Montgomery,Subscriber
651,284,1/13/2015 12:52,76,Market at 4th,602064,1/13/2015 12:48,62,2nd at Folsom,Subscriber
604,962,1/13/2015 13:05,50,Harry Bridges Plaza (Ferry Building),602068,1/13/2015 12:49,82,Broadway St at Battery St,Subscriber
572,649,1/13/2015 12:59,70,San Francisco Caltrain (Townsend at 4th),602067,1/13/2015 12:49,74,Steuart at Market,Subscriber
77,335,1/13/2015 12:56,5,Adobe on Almaden,602071,1/13/2015 12:50,2,San Jose Diridon Caltrain Station,Subscriber
608,257,1/13/2015 12:54,60,Embarcadero at Sansome,602069,1/13/2015 12:50,73,Grant Avenue at Columbus Avenue,Subscriber
360,138,1/13/2015 12:53,82,Broadway St at Battery St,602073,1/13/2015 12:51,41,Clay at Battery,Subscriber
541,80247,1/14/2015 11:09,56,Beale at Market,602072,1/13/2015 12:52,82,Broadway St at Battery St,Subscriber
393,348,1/13/2015 12:59,72,Civic Center BART (7th at Market),602076,1/13/2015 12:53,76,Market at 4th,Subscriber
92,245,1/13/2015 12:57,83,Mezes Park,602074,1/13/2015 12:53,22,Redwood City Caltrain Station,Subscriber
440,297,1/13/2015 12:59,56,Beale at Market,602075,1/13/2015 12:54,63,Howard at 2nd,Subscriber
585,424,1/13/2015 13:03,67,Market at 10th,602078,1/13/2015 12:56,39,Powell Street BART,Subscriber
306,550,1/13/2015 13:09,60,Embarcadero at Sansome,602080,1/13/2015 12:59,50,Harry Bridges Plaza (Ferry Building),Subscriber
551,723,1/13/2015 13:12,62,2nd at Folsom,602082,1/13/2015 13:00,50,Harry Bridges Plaza (Ferry Building),Subscriber
322,1326,1/13/2015 13:22,75,Mechanics Plaza (Market at Battery),602081,1/13/2015 13:00,75,Mechanics Plaza (Market at Battery),Subscriber
128,449,1/13/2015 13:07,10,San Jose City Hall,602079,1/13/2015 13:00,14,Arena Green / SAP Center,Subscriber
590,326,1/13/2015 13:06,59,Golden Gate at Polk,602085,1/13/2015 13:01,39,Powell Street BART,Subscriber
358,615,1/13/2015 13:12,47,Post at Kearny,602084,1/13/2015 13:01,66,South Van Ness at Market,Subscriber
419,402,1/13/2015 13:07,61,2nd at Townsend,602083,1/13/2015 13:01,62,2nd at Folsom,Subscriber
457,368,1/13/2015 13:09,75,Mechanics Plaza (Market at Battery),602087,1/13/2015 13:02,60,Embarcadero at Sansome,Subscriber
393,289,1/13/2015 13:07,57,5th at Howard,602086,1/13/2015 13:02,72,Civic Center BART (7th at Market),Subscriber
604,1068,1/13/2015 13:23,75,Mechanics Plaza (Market at Battery),602088,1/13/2015 13:05,50,Harry Bridges Plaza (Ferry Building),Subscriber
537,795,1/13/2015 13:20,49,Spear at Folsom,602090,1/13/2015 13:06,65,Townsend at 7th,Subscriber
249,762,1/13/2015 13:19,80,Santa Clara County Civic Center,602089,1/13/2015 13:06,11,MLK Library,Subscriber
390,1009,1/13/2015 13:24,70,San Francisco Caltrain (Townsend at 4th),602093,1/13/2015 13:07,50,Harry Bridges Plaza (Ferry Building),Subscriber
575,485,1/13/2015 13:15,51,Embarcadero at Folsom,602092,1/13/2015 13:07,61,2nd at Townsend,Subscriber
77,485,1/13/2015 13:17,6,San Pedro Square,602094,1/13/2015 13:08,5,Adobe on Almaden,Subscriber
608,447,1/13/2015 13:17,56,Beale at Market,602095,1/13/2015 13:09,60,Embarcadero at Sansome,Subscriber
233,8096,1/13/2015 15:25,35,University and Emerson,602096,1/13/2015 13:10,35,University and Emerson,Customer
359,248,1/13/2015 13:17,75,Mechanics Plaza (Market at Battery),602097,1/13/2015 13:13,50,Harry Bridges Plaza (Ferry Building),Subscriber
24,210,1/13/2015 13:19,31,San Antonio Shopping Center,602098,1/13/2015 13:16,29,San Antonio Caltrain Station,Subscriber
630,481,1/13/2015 13:26,71,Powell at Post (Union Square),602099,1/13/2015 13:18,46,Washington at Kearny,Subscriber
546,416,1/13/2015 13:27,77,Market at Sansome,602100,1/13/2015 13:20,72,Civic Center BART (7th at Market),Subscriber
179,457,1/13/2015 13:33,3,San Jose Civic Center,602106,1/13/2015 13:25,10,San Jose City Hall,Subscriber
148,610,1/13/2015 13:35,2,San Jose Diridon Caltrain Station,602102,1/13/2015 13:25,11,MLK Library,Subscriber
