id,answer
348,2
349,2
350,2
351,2
352,3
353,1
354,4
355,4
356,2
357,2
358,3
359,2
360,2
361,4
362,5
363,4
364,4
365,3
366,5
367,1
368,1
369,4
370,3
371,4
372,5
373,3
374,4
375,2
376,1
377,1
378,5
379,4
380,5
381,4
382,5
383,2
384,2
385,5
386,1
387,4
388,4
389,5
390,5
391,3
392,2
393,3
394,2
395,4
396,1
397,3
398,3
399,4
400,5
401,2
402,4
403,1
404,4
405,2
406,4
407,1
408,4
409,3
410,2
411,1
412,4
413,4
414,2
415,5
416,5
417,2
418,4
419,2
420,5
421,3
422,3
423,4
424,4
425,
426,4
427,2
428,4
429,3
430,4
431,3
432,1
433,5
434,2
435,3
436,2
437,2
438,5
439,5
440,3
441,4
442,5
443,2
444,5
445,5
446,2
447,4
448,4
449,3
450,2
451,1
452,3
453,3
454,2
455,4
456,3
457,3
458,5
459,5
460,2
461,1
462,3
463,3
464,3
465,3
466,2
467,1
468,2
469,2
470,2
471,3
472,3
473,1
474,3
475,3
476,5
477,3
478,2
479,2
480,3
481,2
482,5
483,2
484,4
485,2
486,1
487,5
488,5
489,2
490,4
491,5
492,3
493,5
494,1
495,4
496,2
497,3
498,5
499,4
500,
501,4
502,2
503,1
504,4
505,3
506,3
507,3
508,4
509,4
510,1
511,4
512,3
513,1
514,1
515,2
516,4
517,3
518,5
519,4
520,2
521,3
522,4
523,3
524,1
525,4
526,3
527,3
528,2
529,3
530,3
531,5
532,5
533,3
534,4
535,3
536,5
537,5
538,5
539,2
540,4
541,4
542,2
543,4
544,4
545,1
546,3
547,2
548,3
549,5
550,4
551,4
552,3
553,5
554,4
555,5
556,2
557,1
558,4
559,3
560,1
561,2
562,4
563,1
564,2
565,1
566,3
567,4
568,2
569,1
570,5
571,3
572,2
573,4
574,1
575,3
576,5
577,2
578,4
579,2
580,5
581,5
582,4
583,4
584,5
585,2
586,2
587,2
588,3
589,3
590,4
591,4
592,5
593,5
594,4
595,4
596,5
597,4
598,2
599,2
600,3
601,5
602,3
603,4
604,2
605,5
606,2
607,2
608,3
609,5
610,5
611,2
612,5
613,3
614,5
615,5
616,4
617,4
618,5
619,1
620,2
621,3
622,1
623,3
624,2
625,5
626,3
627,4
628,3
629,4
630,1
631,4
632,3
633,4
634,1
635,3
636,3
637,
638,4
639,3
640,1
641,5
642,2
643,1
644,4
645,3
646,2
647,2
648,4
649,2
650,4
651,3
652,3
653,2
654,2
655,2
656,2
657,5
658,5
659,3
660,2
661,4
662,4
663,2
664,3
665,2
666,4
667,4
668,4
669,5
670,4
671,4
672,4
673,2
674,5
675,2
676,3
677,1
678,2
679,3
680,4
681,4
682,4
683,3
684,4
685,1
686,3
687,3
688,2
689,5
690,3
691,4
692,2
693,5
694,4
695,5
696,5
697,3
698,1
699,5
700,3
701,3
702,5
703,5
704,2
705,4
706,5
707,2
708,3
709,3
710,2
711,5
712,2
713,5
714,4
715,3
716,1
717,5
718,3
719,3
720,3
721,4
722,1
723,3
724,3
725,4
726,3
727,5
728,1
729,3
730,4
731,5
732,2
733,4
734,5
735,2
736,4
737,5
738,4
739,1
740,4
741,3
742,1
743,5
744,2
745,1
746,4
747,1
748,4
749,3
750,4
751,5
752,2
753,5
754,4
755,2
756,3
757,4
758,4
759,2
760,4
761,3
762,2
763,3
764,2
765,4
766,5
767,4
768,2
769,3
770,4
771,2
772,2
773,4
774,3
775,3
776,4
777,3
778,2
779,3
780,5
781,4
782,5
783,5
784,3
785,5
786,3
787,2
788,4
789,3
790,2
791,4
792,5
793,3
794,3
795,1
796,4
797,4
798,2
799,4
800,2
801,1
802,1
803,3
804,3
805,3
806,4
807,5
808,3
809,2
810,3
811,4
812,5
813,1
814,1
